loss,mae,val_loss,val_mae,learning_rate
0.0070871650241315365,0.048488542437553406,0.002647769870236516,0.034376244992017746,0.0010000000474974513
0.001602075295522809,0.027419697493314743,0.0016527908155694604,0.026941262185573578,0.0010000000474974513
0.0010994627373293042,0.022491103038191795,0.0013386192731559277,0.024014605209231377,0.0010000000474974513
0.0009028696804307401,0.020198652520775795,0.0011229596566408873,0.021466795355081558,0.0010000000474974513
0.0008005641866475344,0.01885782741010189,0.0009797710226848722,0.019650161266326904,0.0010000000474974513
0.0007403289782814682,0.0180046446621418,0.000964198203291744,0.019624311476945877,0.0010000000474974513
0.0007007866515778005,0.01741359382867813,0.0008227852522395551,0.01746775582432747,0.0010000000474974513
0.0006764584104530513,0.017003607004880905,0.0008642481989227235,0.018031399697065353,0.0010000000474974513
0.0006569251418113708,0.01665842905640602,0.0008145744213834405,0.01677224040031433,0.0010000000474974513
0.0006427449989132583,0.01637691631913185,0.0007605207501910627,0.016122708097100258,0.0010000000474974513
0.0006046539056114852,0.01567731983959675,0.0007172496989369392,0.015398630872368813,0.0005000000237487257
0.000601606909185648,0.015614276751875877,0.0006926449132151902,0.014930051751434803,0.0005000000237487257
0.0005988992634229362,0.015559661202132702,0.00068265525624156,0.014715177938342094,0.0005000000237487257
0.0005938252434134483,0.015468648634850979,0.0007002967176958919,0.01485223788768053,0.0005000000237487257
0.0005759848281741142,0.015107403509318829,0.0006803629221394658,0.014612788334488869,0.0002500000118743628
0.0005755942547693849,0.015113752335309982,0.0006627289694733918,0.01415281556546688,0.0002500000118743628
0.0005723903886973858,0.015057127922773361,0.0006703388644382358,0.014382358640432358,0.0002500000118743628
0.0005634916597045958,0.01487444806843996,0.0006524936761707067,0.013951721601188183,0.0001250000059371814
0.000563056324608624,0.014872211031615734,0.0006540825124830008,0.013977543450891972,0.0001250000059371814
0.000561566383112222,0.014842747710645199,0.0006696293130517006,0.014145244844257832,0.0001250000059371814
0.0005559201235882938,0.014728216454386711,0.0006446160841733217,0.013915536925196648,6.25000029685907e-05
0.0005553802475333214,0.014723081141710281,0.0006529835518449545,0.013996684923768044,6.25000029685907e-05
0.0005557214026339352,0.014716179110109806,0.0006506579811684787,0.013948638923466206,6.25000029685907e-05
0.0005522195133380592,0.014651079662144184,0.0006391038186848164,0.013690679334104061,3.125000148429535e-05
0.00055311358300969,0.014668879099190235,0.0006413056398741901,0.013750966638326645,3.125000148429535e-05
0.0005522428546100855,0.014659986831247807,0.0006381827988661826,0.013669517822563648,3.125000148429535e-05
0.0005512615898624063,0.01463023666292429,0.0006421281723305583,0.0137751754373312,1.5625000742147677e-05
0.0005511033232323825,0.01462545245885849,0.0006413197261281312,0.013729347847402096,1.5625000742147677e-05
0.0005503878928720951,0.014609924517571926,0.000639593112282455,0.013682008720934391,1.5625000742147677e-05
0.0005495307850651443,0.014599023386836052,0.0006389908958226442,0.013664471916854382,7.812500371073838e-06
0.0005494203651323915,0.014596528373658657,0.0006366312154568732,0.013621939346194267,7.812500371073838e-06
0.0005494501092471182,0.014594096690416336,0.0006388984038494527,0.013662098906934261,7.812500371073838e-06
0.0005494279321283102,0.014592548832297325,0.0006380413542501628,0.01366846077144146,3.906250185536919e-06
0.0005495737423188984,0.014592613093554974,0.0006377202225849032,0.013639695942401886,3.906250185536919e-06
0.0005491985939443111,0.014582953415811062,0.000640501210000366,0.013691682368516922,3.906250185536919e-06
0.0005477176746353507,0.014576567336916924,0.000639508303720504,0.013661300763487816,1.9531250927684596e-06
0.0005497047677636147,0.014594590291380882,0.0006386440363712609,0.01365225575864315,1.9531250927684596e-06
