combo_name,window_size,lstm_units,dropout,batch_size,learning_rate,val_loss_min,test_rmse,test_mae,train_samples,val_samples,test_samples,elapsed_sec
ws14_u128_d0.1,14,128,0.1,64,0.001,0.0006302559049800038,1122.7918701171875,895.5293579101562,70511,15109,15109,381.9005560874939
ws30_u128_d0.1,30,128,0.1,64,0.001,0.0006366312154568732,915.0958862304688,714.5548706054688,70501,15106,15106,670.0679998397827
ws30_u64_d0.1,30,64,0.1,64,0.001,0.000842940469738096,1250.5479736328125,994.8202514648438,70501,15106,15106,377.05917978286743
ws14_u128_d0.2,14,128,0.2,64,0.001,0.0008519156253896654,1274.01904296875,1016.0949096679688,70511,15109,15109,343.9291441440582
ws14_u64_d0.1,14,64,0.1,64,0.001,0.0009364952566102147,1427.211669921875,1156.7264404296875,70511,15109,15109,210.8357560634613
ws30_u128_d0.2,30,128,0.2,64,0.001,0.0009387885802425444,1328.2542724609375,1046.54931640625,70501,15106,15106,518.2114872932434
ws14_u64_d0.2,14,64,0.2,64,0.001,0.0010858261957764626,1542.7928466796875,1203.0135498046875,70511,15109,15109,263.6376860141754
ws30_u64_d0.2,30,64,0.2,64,0.001,0.001234046882018447,1583.8531494140625,1273.308837890625,70501,15106,15106,265.52328515052795
