loss,mae,val_loss,val_mae,learning_rate
0.007314101327210665,0.050655901432037354,0.0031389412470161915,0.03829483687877655,0.0010000000474974513
0.0017979360418394208,0.02899407222867012,0.0020877551287412643,0.03168944641947746,0.0010000000474974513
0.0011834780452772975,0.02339671179652214,0.0015782549744471908,0.02681734971702099,0.0010000000474974513
0.000950360088609159,0.020765673369169235,0.0012609706027433276,0.02323601394891739,0.0010000000474974513
0.0008342145592905581,0.019306350499391556,0.0012158096069470048,0.0228382870554924,0.0010000000474974513
0.0007656764355488122,0.0183442160487175,0.0010566073469817638,0.020666031166911125,0.0010000000474974513
0.0007248382898978889,0.01774383708834648,0.0009847291512414813,0.019678901880979538,0.0010000000474974513
0.0006942104664631188,0.017258597537875175,0.001032885629683733,0.020465580746531487,0.0010000000474974513
0.0006766453734599054,0.016950270161032677,0.0009739043307490647,0.01970486529171467,0.0010000000474974513
0.0006626584799960256,0.01670967973768711,0.0009359608520753682,0.019092313945293427,0.0010000000474974513
0.0006513404077850282,0.01651224121451378,0.0008715516305528581,0.017998434603214264,0.0010000000474974513
0.0006428165943361819,0.016359098255634308,0.0008700129692442715,0.01791338063776493,0.0010000000474974513
0.0006359362159855664,0.016235534101724625,0.0008343433146364987,0.017518136650323868,0.0010000000474974513
0.0006282735848799348,0.016100499778985977,0.0008524204604327679,0.01801074482500553,0.0010000000474974513
0.0006202106596902013,0.01596382074058056,0.0008206788916140795,0.017715588212013245,0.0010000000474974513
0.0006141670746728778,0.015851596370339394,0.0007860574987716973,0.01687876135110855,0.0010000000474974513
0.0006076912977732718,0.015732018277049065,0.0008074846700765193,0.016782941296696663,0.0010000000474974513
0.0005748764961026609,0.015108469873666763,0.0007781831664033234,0.016227804124355316,0.0005000000237487257
0.0005735614104196429,0.015074186027050018,0.000773300533182919,0.01632889360189438,0.0005000000237487257
0.0005713124410249293,0.015024666674435139,0.0007255905074998736,0.015445520170032978,0.0005000000237487257
0.0005684338393621147,0.014953148551285267,0.0007840559119358659,0.01630227454006672,0.0005000000237487257
0.0005647826474159956,0.01487711165100336,0.0007562055252492428,0.016070613637566566,0.0005000000237487257
0.0005633117398247123,0.01484583504498005,0.0007582466350868344,0.015962477773427963,0.0005000000237487257
0.0005611216765828431,0.014796518720686436,0.0007671719649806619,0.01575659029185772,0.0005000000237487257
0.0005456747603602707,0.014481146819889545,0.0007478254847228527,0.015435547567903996,0.0002500000118743628
0.000544577487744391,0.014462584629654884,0.0007685446762479842,0.015814486891031265,0.0002500000118743628
0.0005435370258055627,0.014444383792579174,0.0007697521359659731,0.01574867218732834,0.0002500000118743628
0.0005429108277894557,0.014428431168198586,0.0007683560834266245,0.015586771070957184,0.0002500000118743628
